Category,Condition,Tier 1 (Premium > 45k),Tier 2 (Mid 15k-45k),Tier 3 (Budget < 15k),Apple (All)
Age,0-3 Months,0,0,0,0
Age,3-6 Months,-12%,-15%,-18%,-12%
Age,6-11 Months,-18%,-20%,-25%,-18%
Age,Above 11 Months,-25%,-30%,-35%,-25%
Age,Out of Warranty,-25%,-30%,-35%,-25%
Screen,Minor Scratches,-5%,-5%,-5%,-5%
Screen,Major Scratches,-10%,-10%,-10%,-10%
Screen,Glass Cracked,-35% (Samsung S: -40%),-25%,-20%,-40%
Screen,Faulty Screen (Lines/Spots),-45%,-35%,-30%,-45%
Screen,Screen Not Usable / Dead,-65% (Samsung S: -70%),-50%,-45%,-65%
Screen,Display Changed,-30%,-30%,-30%,-45%
Physical,Flawless,0,0,0,0
Physical,Minor Wear,-10%,-10%,-10%,-10%
Physical,Dents/Paint Peel,-20%,-20%,-20%,-20%
Physical,Back Glass Broken,-20%,-20%,-20%,-30%
Physical,Bent Device,-35%,-35%,-35%,-35%
Functional,Front Camera,-15%,-15%,-15%,-15%
Functional,Rear Camera,-25%,-20%,-20%,-25%
Functional,Face ID / Fingerprint,-15%,-15%,-15%,-35%
Functional,Battery Issue,-15%,-15%,-15%,-15%
Functional,Charging Port,-10%,-10%,-10%,-10%
Functional,Speaker / Mic,-10%,-10%,-10%,-10%
Functional,Physical Buttons,-10%,-10%,-10%,-10%
Functional,WiFi/Bluetooth,-10%,-10%,-10%,-10%
Functional,Network / SIM,-20%,-20%,-20%,-20%
Functional,Sensors,-10%,-10%,-10%,-10%
Functional,Vibration,-5%,-5%,-5%,-5%
Functional,Restart / Heating,-25%,-25%,-25%,-25%
Limits,Max Hardware Cap,Max -70%,Max -60%,Max -85%,Max -70%
Limits,Floor Price,Min ₹1500,Min ₹500,Min ₹500,Min ₹1500
Accessories,Missing Box,-₹500,-₹500,-₹200,-₹500
Accessories,Missing Charger,-₹1000,-₹1000,-₹500,-₹1000
Accessories,Missing Bill,-₹500,-₹500,-₹200,-₹500
